subj,group,dimCB,testOrder,x,phase,y,trialNum,FCrule
19045,single,BG,expec-ID,4,test,52,11,similarity
19047,single,BG,expec-ID,4,test,34,1,similarity
19047,single,BG,expec-ID,11,test,15,2,similarity
19047,single,BG,expec-ID,3,test,15,3,similarity
19047,single,BG,expec-ID,2,test,16,4,similarity
19047,single,BG,expec-ID,6,test,82,5,similarity
19047,single,BG,expec-ID,9,test,31,6,similarity
19047,single,BG,expec-ID,7,test,83,7,similarity
19047,single,BG,expec-ID,8,test,56,8,similarity
19047,single,BG,expec-ID,1,test,22,9,similarity
19047,single,BG,expec-ID,5,test,67,10,similarity
19047,single,BG,expec-ID,10,test,33,11,similarity
19049,single,BG,expec-ID,5,test,81,1,linear blue
19049,single,BG,expec-ID,11,test,38,2,linear blue
19049,single,BG,expec-ID,1,test,63,3,linear blue
19049,single,BG,expec-ID,6,test,82,4,linear blue
19049,single,BG,expec-ID,8,test,66,5,linear blue
19049,single,BG,expec-ID,9,test,55,6,linear blue
19049,single,BG,expec-ID,7,test,62,7,linear blue
19049,single,BG,expec-ID,4,test,66,8,linear blue
19049,single,BG,expec-ID,3,test,67,9,linear blue
19049,single,BG,expec-ID,10,test,45,10,linear blue
19049,single,BG,expec-ID,2,test,60,11,linear blue
19054,differential,BG,expec-ID,1,test,0,1,similarity
19054,differential,BG,expec-ID,3,test,0,2,similarity
19054,differential,BG,expec-ID,8,test,0,3,similarity
19054,differential,BG,expec-ID,5,test,0,4,similarity
19054,differential,BG,expec-ID,11,test,0,5,similarity
19054,differential,BG,expec-ID,6,test,100,6,similarity
19054,differential,BG,expec-ID,9,test,0,7,similarity
19054,differential,BG,expec-ID,2,test,0,8,similarity
19054,differential,BG,expec-ID,4,test,0,9,similarity
19054,differential,BG,expec-ID,7,test,99,10,similarity
19054,differential,BG,expec-ID,10,test,52,11,similarity
19055,differential,BG,expec-ID,5,test,93,1,similarity
19055,differential,BG,expec-ID,4,test,0,2,similarity
19055,differential,BG,expec-ID,11,test,50,3,similarity
19055,differential,BG,expec-ID,10,test,49,4,similarity
19055,differential,BG,expec-ID,7,test,95,5,similarity
19055,differential,BG,expec-ID,6,test,90,6,similarity
19055,differential,BG,expec-ID,2,test,0,7,similarity
19055,differential,BG,expec-ID,1,test,2,8,similarity
19055,differential,BG,expec-ID,8,test,93,9,similarity
19055,differential,BG,expec-ID,3,test,0,10,similarity
19055,differential,BG,expec-ID,9,test,70,11,similarity
19060,differential,GB,expec-ID,11,test,100,1,linear blue
19060,differential,GB,expec-ID,8,test,0,2,linear blue
19060,differential,GB,expec-ID,7,test,100,3,linear blue
19060,differential,GB,expec-ID,3,test,0,4,linear blue
19060,differential,GB,expec-ID,1,test,0,5,linear blue
19060,differential,GB,expec-ID,10,test,100,6,linear blue
19060,differential,GB,expec-ID,4,test,0,7,linear blue
19060,differential,GB,expec-ID,5,test,100,8,linear blue
19060,differential,GB,expec-ID,9,test,100,9,linear blue
19060,differential,GB,expec-ID,6,test,100,10,linear blue
19060,differential,GB,expec-ID,2,test,0,11,linear blue
19064,single,BG,expec-ID,8,test,67,1,linear green
19064,single,BG,expec-ID,4,test,41,2,linear green
19064,single,BG,expec-ID,3,test,62,3,linear green
19064,single,BG,expec-ID,10,test,58,4,linear green
19064,single,BG,expec-ID,7,test,21,5,linear green
19064,single,BG,expec-ID,6,test,77,6,linear green
19064,single,BG,expec-ID,2,test,76,7,linear green
19064,single,BG,expec-ID,11,test,73,8,linear green
19064,single,BG,expec-ID,9,test,73,9,linear green
19064,single,BG,expec-ID,1,test,36,10,linear green
19064,single,BG,expec-ID,5,test,67,11,linear green
19065,differential,GB,expec-ID,6,test,14,1,linear blue
19065,differential,GB,expec-ID,4,test,13,2,linear blue
19065,differential,GB,expec-ID,1,test,14,3,linear blue
19065,differential,GB,expec-ID,8,test,96,4,linear blue
19065,differential,GB,expec-ID,10,test,91,5,linear blue
19065,differential,GB,expec-ID,11,test,92,6,linear blue
19065,differential,GB,expec-ID,7,test,61,7,linear blue
19065,differential,GB,expec-ID,2,test,6,8,linear blue
19065,differential,GB,expec-ID,9,test,76,9,linear blue
19065,differential,GB,expec-ID,3,test,9,10,linear blue
19065,differential,GB,expec-ID,5,test,39,11,linear blue
19066,single,BG,expec-ID,7,test,31,1,similarity
19066,single,BG,expec-ID,10,test,1,2,similarity
19066,single,BG,expec-ID,1,test,50,3,similarity
19066,single,BG,expec-ID,9,test,26,4,similarity
19066,single,BG,expec-ID,11,test,15,5,similarity
19066,single,BG,expec-ID,6,test,79,6,similarity
19066,single,BG,expec-ID,5,test,50,7,similarity
19066,single,BG,expec-ID,2,test,50,8,similarity
19066,single,BG,expec-ID,8,test,27,9,similarity
19066,single,BG,expec-ID,4,test,54,10,similarity
19066,single,BG,expec-ID,3,test,56,11,similarity
19067,single,BG,expec-ID,6,test,95,1,similarity
19067,single,BG,expec-ID,1,test,37,2,similarity
19067,single,BG,expec-ID,2,test,38,3,similarity
19067,single,BG,expec-ID,9,test,69,4,similarity
19067,single,BG,expec-ID,10,test,45,5,similarity
19067,single,BG,expec-ID,4,test,25,6,similarity
19067,single,BG,expec-ID,11,test,43,7,similarity
19067,single,BG,expec-ID,5,test,99,8,similarity
19067,single,BG,expec-ID,3,test,35,9,similarity
19067,single,BG,expec-ID,7,test,100,10,similarity
19067,single,BG,expec-ID,8,test,75,11,similarity
19069,single,BG,expec-ID,9,test,66,1,linear blue
19069,single,BG,expec-ID,7,test,41,2,linear blue
19069,single,BG,expec-ID,6,test,92,3,linear blue
19069,single,BG,expec-ID,4,test,74,4,linear blue
19069,single,BG,expec-ID,8,test,32,5,linear blue
19069,single,BG,expec-ID,1,test,73,6,linear blue
19069,single,BG,expec-ID,10,test,32,7,linear blue
19069,single,BG,expec-ID,11,test,25,8,linear blue
19069,single,BG,expec-ID,3,test,76,9,linear blue
19069,single,BG,expec-ID,5,test,67,10,linear blue
19069,single,BG,expec-ID,2,test,83,11,linear blue
19070,differential,GB,expec-ID,10,test,85,1,similarity
19070,differential,GB,expec-ID,6,test,82,2,similarity
19070,differential,GB,expec-ID,9,test,91,3,similarity
19070,differential,GB,expec-ID,11,test,89,4,similarity
19070,differential,GB,expec-ID,3,test,0,5,similarity
19070,differential,GB,expec-ID,1,test,0,6,similarity
19070,differential,GB,expec-ID,4,test,0,7,similarity
19070,differential,GB,expec-ID,2,test,0,8,similarity
19070,differential,GB,expec-ID,5,test,76,9,similarity
19070,differential,GB,expec-ID,8,test,99,10,similarity
19070,differential,GB,expec-ID,7,test,87,11,similarity
19073,differential,GB,expec-ID,7,test,59,1,similarity
19073,differential,GB,expec-ID,9,test,43,2,similarity
19073,differential,GB,expec-ID,5,test,51,3,similarity
19073,differential,GB,expec-ID,6,test,53,4,similarity
19073,differential,GB,expec-ID,11,test,45,5,similarity
19073,differential,GB,expec-ID,10,test,46,6,similarity
19073,differential,GB,expec-ID,1,test,45,7,similarity
19073,differential,GB,expec-ID,2,test,43,8,similarity
19073,differential,GB,expec-ID,3,test,41,9,similarity
19073,differential,GB,expec-ID,4,test,53,10,similarity
19073,differential,GB,expec-ID,8,test,41,11,similarity
19074,single,GB,expec-ID,11,test,51,1,similarity
19074,single,GB,expec-ID,1,test,100,2,similarity
19074,single,GB,expec-ID,9,test,25,3,similarity
19074,single,GB,expec-ID,4,test,74,4,similarity
19074,single,GB,expec-ID,6,test,70,5,similarity
19074,single,GB,expec-ID,8,test,28,6,similarity
19074,single,GB,expec-ID,7,test,71,7,similarity
19074,single,GB,expec-ID,2,test,49,8,similarity
19074,single,GB,expec-ID,10,test,32,9,similarity
19074,single,GB,expec-ID,5,test,71,10,similarity
19074,single,GB,expec-ID,3,test,59,11,similarity
19080,single,GB,expec-ID,3,test,88,1,similarity
19080,single,GB,expec-ID,2,test,86,2,similarity
19080,single,GB,expec-ID,7,test,88,3,similarity
19080,single,GB,expec-ID,8,test,2,4,similarity
19080,single,GB,expec-ID,6,test,79,5,similarity
19080,single,GB,expec-ID,9,test,15,6,similarity
19080,single,GB,expec-ID,11,test,78,7,similarity
19080,single,GB,expec-ID,1,test,77,8,similarity
19080,single,GB,expec-ID,10,test,84,9,similarity
19080,single,GB,expec-ID,5,test,75,10,similarity
19080,single,GB,expec-ID,4,test,20,11,similarity
19081,differential,GB,expec-ID,11,test,0,1,similarity
19081,differential,GB,expec-ID,1,test,0,2,similarity
19081,differential,GB,expec-ID,8,test,96,3,similarity
19081,differential,GB,expec-ID,5,test,0,4,similarity
19081,differential,GB,expec-ID,4,test,0,5,similarity
19081,differential,GB,expec-ID,7,test,100,6,similarity
19081,differential,GB,expec-ID,6,test,98,7,similarity
19081,differential,GB,expec-ID,9,test,0,8,similarity
19081,differential,GB,expec-ID,3,test,0,9,similarity
19081,differential,GB,expec-ID,2,test,0,10,similarity
19081,differential,GB,expec-ID,10,test,1,11,similarity
19086,single,BG,expec-ID,5,test,81,1,similarity
19086,single,BG,expec-ID,8,test,61,2,similarity
19086,single,BG,expec-ID,3,test,96,3,similarity
19086,single,BG,expec-ID,7,test,64,4,similarity
19086,single,BG,expec-ID,2,test,93,5,similarity
19086,single,BG,expec-ID,4,test,56,6,similarity
19086,single,BG,expec-ID,6,test,36,7,similarity
19086,single,BG,expec-ID,1,test,91,8,similarity
19086,single,BG,expec-ID,11,test,13,9,similarity
19086,single,BG,expec-ID,10,test,20,10,similarity
19086,single,BG,expec-ID,9,test,41,11,similarity
19087,single,GB,expec-ID,3,test,78,1,linear green
19087,single,GB,expec-ID,11,test,51,2,linear green
19087,single,GB,expec-ID,6,test,51,3,linear green
19087,single,GB,expec-ID,9,test,52,4,linear green
19087,single,GB,expec-ID,2,test,38,5,linear green
19087,single,GB,expec-ID,1,test,61,6,linear green
19087,single,GB,expec-ID,10,test,45,7,linear green
19087,single,GB,expec-ID,4,test,56,8,linear green
19087,single,GB,expec-ID,7,test,42,9,linear green
19087,single,GB,expec-ID,8,test,55,10,linear green
19087,single,GB,expec-ID,5,test,45,11,linear green
19088,differential,BG,expec-ID,6,test,87,1,similarity
19088,differential,BG,expec-ID,11,test,67,2,similarity
19088,differential,BG,expec-ID,1,test,16,3,similarity
19088,differential,BG,expec-ID,5,test,32,4,similarity
19088,differential,BG,expec-ID,9,test,31,5,similarity
19088,differential,BG,expec-ID,8,test,74,6,similarity
19088,differential,BG,expec-ID,10,test,71,7,similarity
19088,differential,BG,expec-ID,7,test,93,8,similarity
19088,differential,BG,expec-ID,2,test,22,9,similarity
19088,differential,BG,expec-ID,4,test,25,10,similarity
19088,differential,BG,expec-ID,3,test,16,11,similarity
19089,single,GB,expec-ID,10,test,82,1,linear blue
19089,single,GB,expec-ID,3,test,13,2,linear blue
19089,single,GB,expec-ID,5,test,66,3,linear blue
19089,single,GB,expec-ID,1,test,37,4,linear blue
19089,single,GB,expec-ID,7,test,100,5,linear blue
19089,single,GB,expec-ID,4,test,37,6,linear blue
19089,single,GB,expec-ID,8,test,82,7,linear blue
19089,single,GB,expec-ID,9,test,9,8,linear blue
19089,single,GB,expec-ID,11,test,100,9,linear blue
19089,single,GB,expec-ID,6,test,34,10,linear blue
19089,single,GB,expec-ID,2,test,0,11,linear blue
19090,differential,GB,expec-ID,9,test,100,1,linear blue
19090,differential,GB,expec-ID,1,test,0,2,linear blue
19090,differential,GB,expec-ID,8,test,100,3,linear blue
19090,differential,GB,expec-ID,2,test,0,4,linear blue
19090,differential,GB,expec-ID,10,test,100,5,linear blue
19090,differential,GB,expec-ID,4,test,10,6,linear blue
19090,differential,GB,expec-ID,11,test,100,7,linear blue
19090,differential,GB,expec-ID,6,test,40,8,linear blue
19090,differential,GB,expec-ID,7,test,70,9,linear blue
19090,differential,GB,expec-ID,3,test,0,10,linear blue
19090,differential,GB,expec-ID,5,test,19,11,linear blue
19094,single,GB,expec-ID,7,test,13,1,linear green
19094,single,GB,expec-ID,5,test,100,2,linear green
19094,single,GB,expec-ID,8,test,18,3,linear green
19094,single,GB,expec-ID,11,test,19,4,linear green
19094,single,GB,expec-ID,4,test,76,5,linear green
19094,single,GB,expec-ID,9,test,20,6,linear green
19094,single,GB,expec-ID,2,test,90,7,linear green
19094,single,GB,expec-ID,1,test,70,8,linear green
19094,single,GB,expec-ID,3,test,73,9,linear green
19094,single,GB,expec-ID,6,test,100,10,linear green
19094,single,GB,expec-ID,10,test,6,11,linear green
19096,single,BG,expec-ID,1,test,69,1,similarity
19096,single,BG,expec-ID,11,test,37,2,similarity
19096,single,BG,expec-ID,7,test,72,3,similarity
19096,single,BG,expec-ID,5,test,81,4,similarity
19096,single,BG,expec-ID,8,test,81,5,similarity
19096,single,BG,expec-ID,6,test,85,6,similarity
19096,single,BG,expec-ID,2,test,36,7,similarity
19096,single,BG,expec-ID,3,test,30,8,similarity
19096,single,BG,expec-ID,10,test,85,9,similarity
19096,single,BG,expec-ID,4,test,31,10,similarity
19096,single,BG,expec-ID,9,test,84,11,similarity
19098,differential,GB,expec-ID,5,test,82,1,similarity
19098,differential,GB,expec-ID,2,test,0,2,similarity
19098,differential,GB,expec-ID,8,test,50,3,similarity
19098,differential,GB,expec-ID,9,test,100,4,similarity
19098,differential,GB,expec-ID,7,test,78,5,similarity
19098,differential,GB,expec-ID,3,test,0,6,similarity
19098,differential,GB,expec-ID,1,test,79,7,similarity
19098,differential,GB,expec-ID,10,test,100,8,similarity
19098,differential,GB,expec-ID,6,test,79,9,similarity
19098,differential,GB,expec-ID,11,test,100,10,similarity
19098,differential,GB,expec-ID,4,test,0,11,similarity
19100,single,GB,expec-ID,6,test,49,1,linear green
19100,single,GB,expec-ID,8,test,56,2,linear green
19100,single,GB,expec-ID,11,test,50,3,linear green
19100,single,GB,expec-ID,7,test,69,4,linear green
19100,single,GB,expec-ID,9,test,72,5,linear green
19100,single,GB,expec-ID,10,test,20,6,linear green
19100,single,GB,expec-ID,2,test,31,7,linear green
19100,single,GB,expec-ID,4,test,70,8,linear green
19100,single,GB,expec-ID,3,test,18,9,linear green
19100,single,GB,expec-ID,1,test,50,10,linear green
19100,single,GB,expec-ID,5,test,50,11,linear green
19103,differential,GB,expec-ID,8,test,88,1,linear blue
19103,differential,GB,expec-ID,10,test,99,2,linear blue
19103,differential,GB,expec-ID,1,test,0,3,linear blue
19103,differential,GB,expec-ID,9,test,97,4,linear blue
19103,differential,GB,expec-ID,7,test,69,5,linear blue
19103,differential,GB,expec-ID,2,test,2,6,linear blue
19103,differential,GB,expec-ID,11,test,100,7,linear blue
19103,differential,GB,expec-ID,5,test,49,8,linear blue
19103,differential,GB,expec-ID,3,test,17,9,linear blue
19103,differential,GB,expec-ID,4,test,47,10,linear blue
19103,differential,GB,expec-ID,6,test,72,11,linear blue
19104,differential,GB,expec-ID,4,test,0,1,similarity
19104,differential,GB,expec-ID,9,test,100,2,similarity
19104,differential,GB,expec-ID,5,test,0,3,similarity
19104,differential,GB,expec-ID,7,test,100,4,similarity
19104,differential,GB,expec-ID,1,test,0,5,similarity
19104,differential,GB,expec-ID,8,test,100,6,similarity
19104,differential,GB,expec-ID,2,test,0,7,similarity
19104,differential,GB,expec-ID,11,test,0,8,similarity
19104,differential,GB,expec-ID,3,test,0,9,similarity
19104,differential,GB,expec-ID,10,test,0,10,similarity
19104,differential,GB,expec-ID,6,test,0,11,similarity
19107,differential,BG,expec-ID,1,test,0,1,similarity
19107,differential,BG,expec-ID,9,test,26,2,similarity
19107,differential,BG,expec-ID,6,test,74,3,similarity
19107,differential,BG,expec-ID,3,test,0,4,similarity
19107,differential,BG,expec-ID,4,test,0,5,similarity
19107,differential,BG,expec-ID,7,test,66,6,similarity
19107,differential,BG,expec-ID,5,test,0,7,similarity
19107,differential,BG,expec-ID,10,test,24,8,similarity
19107,differential,BG,expec-ID,8,test,76,9,similarity
19107,differential,BG,expec-ID,2,test,0,10,similarity
19107,differential,BG,expec-ID,11,test,76,11,similarity
19108,differential,BG,expec-ID,11,test,0,1,similarity
19108,differential,BG,expec-ID,6,test,60,2,similarity
19108,differential,BG,expec-ID,5,test,29,3,similarity
19108,differential,BG,expec-ID,2,test,15,4,similarity
19108,differential,BG,expec-ID,3,test,5,5,similarity
19108,differential,BG,expec-ID,1,test,7,6,similarity
19108,differential,BG,expec-ID,10,test,0,7,similarity
19108,differential,BG,expec-ID,9,test,0,8,similarity
19108,differential,BG,expec-ID,8,test,4,9,similarity
19108,differential,BG,expec-ID,7,test,4,10,similarity
19108,differential,BG,expec-ID,4,test,2,11,similarity
19109,single,GB,expec-ID,3,test,50,1,similarity
19109,single,GB,expec-ID,11,test,29,2,similarity
19109,single,GB,expec-ID,2,test,61,3,similarity
19109,single,GB,expec-ID,9,test,50,4,similarity
19109,single,GB,expec-ID,7,test,81,5,similarity
19109,single,GB,expec-ID,1,test,42,6,similarity
19109,single,GB,expec-ID,10,test,41,7,similarity
19109,single,GB,expec-ID,6,test,80,8,similarity
19109,single,GB,expec-ID,8,test,70,9,similarity
19109,single,GB,expec-ID,5,test,66,10,similarity
19109,single,GB,expec-ID,4,test,70,11,similarity
19111,single,GB,expec-ID,5,test,100,1,linear blue
19111,single,GB,expec-ID,1,test,0,2,linear blue
19111,single,GB,expec-ID,10,test,100,3,linear blue
19111,single,GB,expec-ID,9,test,100,4,linear blue
19111,single,GB,expec-ID,3,test,0,5,linear blue
19111,single,GB,expec-ID,4,test,0,6,linear blue
19111,single,GB,expec-ID,6,test,100,7,linear blue
19111,single,GB,expec-ID,8,test,100,8,linear blue
19111,single,GB,expec-ID,7,test,100,9,linear blue
19111,single,GB,expec-ID,11,test,0,10,linear blue
19111,single,GB,expec-ID,2,test,0,11,linear blue
19114,differential,GB,expec-ID,3,test,0,1,linear blue
19114,differential,GB,expec-ID,6,test,66,2,linear blue
19114,differential,GB,expec-ID,8,test,100,3,linear blue
