exp,subj,group,spat_var,x,y
3,30,variable,variable,5,58.33333333
3,30,variable,variable,6,25
3,31,variable,variable,0,100
3,31,variable,variable,1,91.66666667
3,31,variable,variable,2,100
3,31,variable,variable,3,100
3,31,variable,variable,4,100
3,31,variable,variable,5,100
3,31,variable,variable,6,100
3,32,variable,variable,0,25
3,32,variable,variable,1,41.66666667
3,32,variable,variable,2,41.66666667
3,32,variable,variable,3,66.66666667
3,32,variable,variable,4,75
3,32,variable,variable,5,83.33333333
3,32,variable,variable,6,50
3,33,variable,variable,0,58.33333333
3,33,variable,variable,1,66.66666667
3,33,variable,variable,2,25
3,33,variable,variable,3,41.66666667
3,33,variable,variable,4,40
3,33,variable,variable,5,33.33333333
3,33,variable,variable,6,50
3,34,variable,variable,0,45.45454545
3,34,variable,variable,1,66.66666667
3,34,variable,variable,2,50
3,34,variable,variable,3,50
3,34,variable,variable,4,25
3,34,variable,variable,5,45.45454545
3,34,variable,variable,6,33.33333333
3,35,variable,variable,0,100
3,35,variable,variable,1,83.33333333
3,35,variable,variable,2,100
3,35,variable,variable,3,100
3,35,variable,variable,4,83.33333333
3,35,variable,variable,5,91.66666667
3,35,variable,variable,6,58.33333333
3,36,variable,variable,0,100
3,36,variable,variable,1,100
3,36,variable,variable,2,100
3,36,variable,variable,3,100
3,36,variable,variable,4,58.33333333
3,36,variable,variable,5,50
3,36,variable,variable,6,50
3,37,fixed,variable,0,58.33333333
3,37,fixed,variable,1,75
3,37,fixed,variable,2,91.66666667
3,37,fixed,variable,3,100
3,37,fixed,variable,4,100
3,37,fixed,variable,5,66.66666667
3,37,fixed,variable,6,75
3,38,fixed,variable,0,100
3,38,fixed,variable,1,91.66666667
3,38,fixed,variable,2,100
3,38,fixed,variable,3,100
3,38,fixed,variable,4,100
3,38,fixed,variable,5,91.66666667
3,38,fixed,variable,6,91.66666667
3,39,fixed,variable,0,100
3,39,fixed,variable,1,100
3,39,fixed,variable,2,100
3,39,fixed,variable,3,100
3,39,fixed,variable,4,100
3,39,fixed,variable,5,50
3,39,fixed,variable,6,58.33333333
3,40,fixed,variable,0,58.33333333
3,40,fixed,variable,1,54.54545455
3,40,fixed,variable,2,50
3,40,fixed,variable,3,58.33333333
3,40,fixed,variable,4,33.33333333
3,40,fixed,variable,5,66.66666667
3,40,fixed,variable,6,33.33333333
3,41,fixed,variable,0,100
3,41,fixed,variable,1,100
3,41,fixed,variable,2,100
3,41,fixed,variable,3,100
3,41,fixed,variable,4,91.66666667
3,41,fixed,variable,5,58.33333333
3,41,fixed,variable,6,50
3,42,fixed,variable,0,100
3,42,fixed,variable,1,100
3,42,fixed,variable,2,100
3,42,fixed,variable,3,100
3,42,fixed,variable,4,100
3,42,fixed,variable,5,75
3,42,fixed,variable,6,58.33333333
3,43,fixed,variable,0,100
3,43,fixed,variable,1,100
3,43,fixed,variable,2,91.66666667
3,43,fixed,variable,3,100
3,43,fixed,variable,4,100
3,43,fixed,variable,5,100
3,43,fixed,variable,6,100
3,44,fixed,variable,0,44.44444444
3,44,fixed,variable,1,50
3,44,fixed,variable,2,62.5
3,44,fixed,variable,3,71.42857143
3,44,fixed,variable,4,62.5
3,44,fixed,variable,5,70
3,44,fixed,variable,6,60
3,45,fixed,variable,0,33.33333333
3,45,fixed,variable,1,54.54545455
3,45,fixed,variable,2,58.33333333
3,45,fixed,variable,3,36.36363636
3,45,fixed,variable,4,25
3,45,fixed,variable,5,8.333333333
3,45,fixed,variable,6,54.54545455
3,46,fixed,variable,0,27.27272727
3,46,fixed,variable,1,50
3,46,fixed,variable,2,58.33333333
3,46,fixed,variable,3,58.33333333
3,46,fixed,variable,4,50
3,46,fixed,variable,5,66.66666667
3,46,fixed,variable,6,33.33333333
3,47,fixed,variable,0,100
3,47,fixed,variable,1,100
3,47,fixed,variable,2,100
3,47,fixed,variable,3,100
3,47,fixed,variable,4,100
3,47,fixed,variable,5,50
3,47,fixed,variable,6,50
3,48,fixed,variable,0,100
3,48,fixed,variable,1,100
3,48,fixed,variable,2,100
3,48,fixed,variable,3,100
3,48,fixed,variable,4,66.66666667
3,48,fixed,variable,5,58.33333333
3,48,fixed,variable,6,50
